Model,Accuracy,Precision,Recall,F1 score
LR,0.8533333333333333,0.8691481481481482,0.8533333333333333,0.852346012089046
KNN,0.8533333333333333,0.8880000000000001,0.8533333333333333,0.8586459285468573
SVC Linear,0.9199999999999999,0.9308148148148148,0.9199999999999999,0.9172731829573936
SVC rbf,0.9199999999999999,0.9308148148148148,0.9199999999999999,0.9172731829573936
Random Forest,0.9066666666666666,0.9248148148148146,0.9066666666666666,0.9049874686716792
